Method,Epoch,MU,FE
GA+GD,10,0.5571,0.8656,5.135,0.0,4.145,2.79,0.0,0.0,0.1,0.0,0.0,0.0
GA+KL,10,0.0,0.9204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPO+GD,10,0.5382,0.7734,7.6667,0.0,6.3333,3.3333,2.3333,1.6667,6.0,4.3333,0.0,0.0
NPO+KL,10,0.4672,0.7911,3.8605,1.0465,3.7558,0.093,1.2674,0.3837,3.4706,0.0235,0.0,1.2118
MK,10,0.5317,0.8962,8.11,0.77,1.095,0.35,0.2,0.055,1.025,0.03,0.05,0.14
DPO+GD,10,0.0409,0.7328,0.155,0.1,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.005
DPO+KL,10,0.0113,0.7817,0.0,0.05,0.005,0.0,0.0,0.0,0.005,0.0,0.005,0.05
IDK+GD,10,0.2021,0.6658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDK+KL,10,0.0,0.7464,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.06
NM_JWJ,10,0.34,0.6184,5.875,1.815,6.655,4.83,1.72,2.86,6.385,0.87,5.645,1.84
